name,countries
abazi,['Albania']
abbasov,['Azerbaijan']
abdrahmanov,['Kazakhstan']
abdullaev,['Kazakhstan']
abdullayev,['Azerbaijan']
abe,['Japan']
abuladze,['Georgia']
acosta,"['Argentina', 'Mexico', 'Paraguay']"
adams,['United States']
ademovic,['Bosnia and Herzegovina']
adilovic,['Bosnia and Herzegovina']
aguilar,"['Argentina', 'El Salvador', 'Guatemala', 'Mexico', 'Philippines']"
aguilera,['Chile']
aguirre,"['Argentina', 'Mexico']"
ahamed,['Sri Lanka']
ahmadov,['Azerbaijan']
ahmed,['Bangladesh']
ahmetov,['Kazakhstan']
ahmetovic,['Bosnia and Herzegovina']
ahn,"['Korea, Republic of']"
ahonen,['Finland']
aigner,['Austria']
aivaliotis,['Greece']
akter,['Bangladesh']
alarcon,['Chile']
aleksejev,['Estonia']
alexander,['United Kingdom']
ali,"['Fiji', 'India', 'United Kingdom']"
aliev,['Kazakhstan']
alievi,['Georgia']
aliyev,"['Azerbaijan', 'Georgia']"
allen,['United States']
almeida,"['Brazil', 'Portugal']"
alonso,"['Argentina', 'Spain']"
alvarado,"['Chile', 'El Salvador', 'Mexico']"
alvarez,"['Argentina', 'Chile', 'Mexico', 'Spain']"
alves,"['Brazil', 'Portugal']"
amangeldy,['Kazakhstan']
amar,['Israel']
amarasinghe,['Sri Lanka']
amato,['Italy']
an,"['Korea, Republic of']"
andersen,"['Denmark', 'Iceland', 'Norway']"
anderson,"['Australia', 'United States']"
andersson,['El Salvador']
andre,['France']
andreassen,['Norway']
andrejev,['Estonia']
ang,['Cambodia']
angelov,"['Bulgaria', 'North Macedonia']"
angelova,['Bulgaria']
antunes,['Portugal']
aoki,['Japan']
aquino,['Philippines']
arai,['Japan']
arakelyan,['Armenia']
araujo,"['Brazil', 'Portugal']"
aravena,['Chile']
araya,"['Chile', 'Costa Rica']"
arben,[]
arias,['Argentina']
arslan,['Türkiye']
ashkenazi,['Israel']
aslan,['Türkiye']
attard,['Malta']
auer,['Austria']
avetisyan,['Armenia']
avila,['Mexico']
avraham,['Israel']
ayala,"['Mexico', 'Paraguay']"
aydın,['Türkiye']
azevedo,"['Brazil', 'Portugal']"
azoulay,['Israel']
babic,"['Bosnia and Herzegovina', 'Croatia']"
bae,"['Korea, Republic of']"
baek,"['Korea, Republic of']"
baez,['Paraguay']
bah,['Belgium']
bai,"['Korea, Republic of']"
bailey,['United States']
bairamov,['Georgia']
bairamovi,['Georgia']
bajram,[]
bak,"['Korea, Republic of']"
baker,['United States']
bakker,['Netherlands']
balaz,['Slovakia']
balazs,['Hungary']
balodis,['Latvia']
balog,['Slovakia']
balogh,['Hungary']
bandara,['Sri Lanka']
barbieri,['Italy']
barbosa,"['Brazil', 'Portugal']"
bardhi,['Albania']
barisic,['Croatia']
barnes,['United States']
barone,['Italy']
barry,['Belgium']
basile,['Italy']
battaglia,['Italy']
bauer,['Austria']
baumann,['Switzerland']
baumgartner,['Austria']
bautista,['Philippines']
becker,"['Germany', 'Luxembourg']"
begu,['Albania']
bekim,[]
bektashi,['Albania']
bell,['United States']
bellini,['Italy']
ben-david,['Israel']
benali,['Belgium']
benedetti,['Italy']
bengtsson,['El Salvador']
benitez,"['Argentina', 'Paraguay']"
bennett,['United States']
berg,['Norway']
berger,['Austria']
bergmann,['Iceland']
beridze,['Georgia']
berisha,['Albania']
bernard,['France']
bernardi,['Italy']
berndsen,['Iceland']
bertrand,['France']
berzins,['Latvia']
bianchi,"['Argentina', 'Italy']"
bianco,['Italy']
binder,['Austria']
bird,['Cambodia']
bishwakarma,['Nepal']
biton,['Israel']
bizjak,['Slovenia']
blanco,"['Argentina', 'Spain']"
blazevic,['Croatia']
blondal,['Iceland']
bogdanov,"['North Macedonia', 'Russian Federation']"
bolat,['Kazakhstan']
bolkvadze,['Georgia']
bondar,['Ukraine']
bondarenko,"['Kazakhstan', 'Ukraine']"
bonnet,['France']
borg,['Malta']
bos,['Netherlands']
bosnjak,['Croatia']
boyko,['Ukraine']
bozic,"['Bosnia and Herzegovina', 'Croatia', 'Slovenia']"
brahimi,['Albania']
brankov,['North Macedonia']
braun,['Luxembourg']
bravo,['Chile']
briem,['Iceland']
brooks,['United States']
brouwer,['Netherlands']
brown,"['Australia', 'Canada', 'New Zealand', 'United Kingdom', 'United States']"
brunner,"['Austria', 'Switzerland']"
bruno,"['Argentina', 'Italy']"
bui,['Viet Nam']
bun,['Cambodia']
bustamante,['Chile']
bustos,['Chile']
butkiene,['Lithuania']
butkus,['Lithuania']
butler,['United States']
byrne,['Ireland']
bytyqi,[]
cabrera,"['Argentina', 'Mexico']"
caceres,"['Argentina', 'Chile', 'Paraguay']"
calderon,['Costa Rica']
calvo,['Argentina']
camacho,['Mexico']
cami,['Albania']
camilleri,['Malta']
campbell,['United States']
campos,"['Argentina', 'Chile', 'Mexico']"
can,"['Taiwan, Province of China']"
caputo,['Italy']
carbone,['Italy']
cardenas,"['Chile', 'Mexico']"
cardoso,"['Brazil', 'Portugal']"
cardozo,['Paraguay']
carrasco,['Chile']
carrillo,['Mexico']
carrizo,['Argentina']
carter,['United States']
caruso,['Italy']
carvajal,['Chile']
carvalho,"['Brazil', 'Portugal']"
castaneda,['Mexico']
castelli,['Italy']
castillo,"['Argentina', 'Chile', 'Cuba', 'Dominican Republic', 'Guatemala', 'Mexico', 'Peru', 'Philippines']"
castro,"['Argentina', 'Chile', 'Mexico', 'Peru', 'Philippines', 'Portugal', 'Spain']"
cattaneo,['Italy']
cavalcante,['Brazil']
cavalcanti,['Brazil']
ceban,"['Moldova, Republic of']"
cebotari,"['Moldova, Republic of']"
celik,['Türkiye']
cengic,['Bosnia and Herzegovina']
cerna,['Czechia']
cerny,['Czechia']
cervantes,['Mexico']
cetin,['Türkiye']
cha,"['Korea, Republic of']"
chadad,['Israel']
chai,"['Taiwan, Province of China']"
chan,"['China', 'Taiwan, Province of China']"
chand,['Fiji']
chandra,['Fiji']
chang,"['Korea, Republic of', 'Taiwan, Province of China']"
chathuranga,['Sri Lanka']
chaudhary,['Nepal']
chavez,"['Mexico', 'Peru']"
chazan,['Israel']
chea,['Cambodia']
cheam,['Cambodia']
chen,"['Cambodia', 'China', 'Israel', 'Korea, Republic of', 'Taiwan, Province of China']"
cheon,"['Korea, Republic of']"
cheong,"['Korea, Republic of', 'Taiwan, Province of China']"
chetry,['Nepal']
cheung,"['China', 'Taiwan, Province of China']"
chey,['Cambodia']
chhan,['Cambodia']
chhetri,['Nepal']
chhim,['Cambodia']
chiba,['Japan']
chim,['Cambodia']
chin,"['Cambodia', 'Suriname']"
chiu,['China']
cho,"['Korea, Republic of']"
choa,"['Taiwan, Province of China']"
choe,"['Korea, Republic of']"
choi,"['Korea, Republic of', 'Taiwan, Province of China']"
chong,"['Taiwan, Province of China']"
choo,"['Korea, Republic of']"
chow,['China']
chowdhury,['Nepal']
choy,"['Korea, Republic of', 'Taiwan, Province of China']"
christensen,['Denmark']
christiansen,['Denmark']
chu,"['China', 'Korea, Republic of']"
chua,"['Taiwan, Province of China']"
chun,"['Korea, Republic of', 'Taiwan, Province of China']"
chung,"['Korea, Republic of']"
ciobanu,"['Moldova, Republic of', 'Romania']"
claes,['Belgium']
clark,['United States']
clarke,['United Kingdom']
coelho,['Portugal']
cohen,"['Argentina', 'Israel']"
coi,"['Taiwan, Province of China']"
cojocari,"['Moldova, Republic of']"
collins,['United States']
colombo,"['Argentina', 'Italy']"
conte,['Italy']
conti,['Italy']
contreras,"['Chile', 'Mexico']"
cook,['United States']
cooper,['United States']
coppola,['Italy']
corpuz,['Philippines']
correa,"['Argentina', 'Brazil']"
correia,"['Brazil', 'Portugal']"
cortes,['Chile']
cortez,['Mexico']
costa,"['Argentina', 'Brazil', 'Italy', 'Portugal']"
cox,"['United Kingdom', 'United States']"
cruz,"['Cuba', 'Dominican Republic', 'El Salvador', 'Mexico', 'Philippines', 'Portugal', 'United States']"
cunha,['Portugal']
dabrowski,['Poland']
dahan,['Israel']
dahl,['Norway']
dam,['Faroe Islands']
danielsen,['Faroe Islands']
david,"['France', 'Israel', 'Philippines']"
davidov,['North Macedonia']
davies,['United Kingdom']
davis,"['United Kingdom', 'United States']"
davtyan,['Armenia']
de angelis,['Italy']
de boer,['Netherlands']
de graaf,['Netherlands']
de groot,['Netherlands']
de guzman,['Philippines']
de jong,['Netherlands']
de la cruz,"['Cuba', 'Dominican Republic']"
de leon,"['Guatemala', 'Philippines']"
de los santos,"['Cuba', 'Dominican Republic']"
de luca,['Italy']
de rosa,['Italy']
de santis,['Italy']
de silva,['Sri Lanka']
de smet,['Belgium']
de vries,['Netherlands']
de wit,['Netherlands']
dekker,['Netherlands']
del rosario,['Philippines']
dela cruz,['Philippines']
delgado,"['Argentina', 'Mexico', 'Spain']"
delic,['Bosnia and Herzegovina']
delos santos,['Philippines']
delvina,['Albania']
demir,['Türkiye']
demirovic,['Bosnia and Herzegovina']
denis,['Belgium']
deo,['Fiji']
dervishi,['Albania']
devi,"['Fiji', 'India']"
di stefano,['Italy']
diallo,['Belgium']
dias,"['Brazil', 'Sri Lanka']"
diaz,"['Argentina', 'Chile', 'Colombia', 'Cuba', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Mexico', 'Peru', 'Philippines', 'Spain', 'United States']"
dibra,['Albania']
diederich,['Luxembourg']
dijkstra,['Netherlands']
dimitrov,"['Bulgaria', 'North Macedonia']"
dimitrova,['Bulgaria']
din,['Cambodia']
dissanayake,['Sri Lanka']
dith,['Cambodia']
dizon,['Philippines']
djurhuus,['Faroe Islands']
dogan,['Türkiye']
doherty,['Ireland']
domingo,['Philippines']
dominguez,"['Argentina', 'Mexico', 'Spain']"
donev,['North Macedonia']
donoso,['Chile']
doyle,['Ireland']
duarte,"['Paraguay', 'Portugal']"
dubois,"['Belgium', 'France']"
dul,['Cambodia']
dumitru,['Romania']
dumont,['Belgium']
duong,"['Cambodia', 'Viet Nam']"
dupont,"['Belgium', 'France']"
durand,['France']
dvorak,['Czechia']
dvorakova,['Czechia']
eam,['Cambodia']
ebner,['Austria']
eder,['Austria']
edirisinghe,['Sri Lanka']
edri,['Israel']
edry,['Israel']
edwards,['United States']
egger,['Austria']
egzon,[]
ek,['Cambodia']
ekanayake,['Sri Lanka']
emine,[]
eng,"['Taiwan, Province of China']"
eom,"['Korea, Republic of']"
eriksen,['Norway']
eriksson,['El Salvador']
escobar,"['Chile', 'El Salvador']"
espinoza,"['Chile', 'Mexico', 'Peru']"
esposito,['Italy']
estrada,"['Guatemala', 'Mexico']"
evans,['United States']
fabbri,['Italy']
faber,['Luxembourg']
farias,['Chile']
farina,['Italy']
farkas,['Hungary']
farrugia,['Malta']
fatime,[]
feher,['Hungary']
fekete,['Hungary']
ferhatovic,['Bosnia and Herzegovina']
fernandes,"['Brazil', 'Portugal']"
fernandez,"['Argentina', 'Chile', 'Cuba', 'Dominican Republic', 'Mexico', 'Paraguay', 'Peru', 'Philippines', 'Spain']"
fernando,['Sri Lanka']
ferrara,['Italy']
ferrari,"['Argentina', 'Italy']"
ferraro,['Italy']
ferreira,"['Brazil', 'Portugal']"
ferretti,['Italy']
ferreyra,['Argentina']
ferri,['Italy']
figueiredo,['Portugal']
figueroa,"['Argentina', 'Chile']"
filipov,['North Macedonia']
filipovic,['Croatia']
fiore,['Italy']
fischer,"['Austria', 'Germany', 'Switzerland']"
fisher,['United States']
fjeldsted,['Iceland']
flores,"['Argentina', 'Chile', 'El Salvador', 'Mexico', 'Peru', 'Philippines', 'United States']"
fonseca,['Portugal']
fonseka,['Sri Lanka']
fontana,['Italy']
foster,['United States']
fournier,['France']
francisco,['Philippines']
franco,"['Argentina', 'Italy', 'Paraguay']"
francois,['France']
frasheri,['Albania']
frei,['Switzerland']
freitas,['Portugal']
friedman,['Israel']
fuchs,['Austria']
fuentes,"['Chile', 'Cuba', 'Dominican Republic', 'Mexico']"
fujihara,['Japan']
fujii,['Japan']
fujita,['Japan']
fujiwara,['Japan']
fukuda,['Japan']
gabai,['Israel']
gagnon,['Canada']
gajdos,['Slovakia']
gal,['Hungary']
galea,['Malta']
galeano,['Paraguay']
gallagher,['Ireland']
gallardo,['Chile']
galli,['Italy']
gallo,"['Argentina', 'Italy']"
gamage,['Sri Lanka']
gang,"['Korea, Republic of']"
garcia,"['Argentina', 'Chile', 'Colombia', 'Cuba', 'Dominican Republic', 'El Salvador', 'France', 'Guatemala', 'Mexico', 'Peru', 'Philippines', 'Spain', 'United States']"
garrido,['Chile']
garza,['Mexico']
gashi,['Albania']
gatti,['Italy']
gega,['Albania']
gegaj,['Albania']
gelashvili,['Georgia']
gentile,['Italy']
georgiev,"['Bulgaria', 'North Macedonia']"
georgieva,['Bulgaria']
gerber,['Switzerland']
gevorgyan,['Armenia']
ghang,"['Korea, Republic of']"
ghazaryan,['Armenia']
gheorghe,['Romania']
ghim,"['Korea, Republic of']"
gil,"['Argentina', 'Spain']"
gim,"['Korea, Republic of']"
gimenez,"['Argentina', 'Paraguay']"
giordano,['Italy']
giorgadze,['Georgia']
girard,['France']
giuliani,['Italy']
gjika,['Albania']
gjoni,['Albania']
go,"['Korea, Republic of', 'Taiwan, Province of China']"
godoy,"['Argentina', 'Chile']"
gogoladze,['Georgia']
goh,"['Korea, Republic of', 'Taiwan, Province of China']"
golan,['Israel']
golob,['Slovenia']
golubev,['Russian Federation']
golubovic,['Bosnia and Herzegovina']
gomes,"['Brazil', 'Portugal']"
gomez,"['Argentina', 'Chile', 'Colombia', 'Cuba', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Mexico', 'Paraguay', 'Philippines', 'Spain', 'United States']"
goncalves,"['Brazil', 'Portugal']"
gonzales,['Philippines']
gonzalez,"['Argentina', 'Chile', 'Colombia', 'Costa Rica', 'Cuba', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Mexico', 'Paraguay', 'Peru', 'Spain', 'United States']"
goo,"['Korea, Republic of']"
goossens,['Belgium']
goundar,['Fiji']
gouw,"['Taiwan, Province of China']"
grabowski,['Poland']
grassi,['Italy']
grasso,['Italy']
gray,['United States']
grech,['Malta']
greco,['Italy']
green,['United States']
grgic,['Croatia']
grigoryan,['Armenia']
gruber,['Austria']
gu,"['Korea, Republic of']"
guerra,['Italy']
guerrero,"['Chile', 'Mexico']"
guliyev,['Azerbaijan']
gunasekara,['Sri Lanka']
gunawardana,['Sri Lanka']
gunawardena,['Sri Lanka']
gurung,['Nepal']
gustafsson,['El Salvador']
gutierrez,"['Argentina', 'Chile', 'Costa Rica', 'Mexico', 'Peru', 'Philippines', 'Spain', 'United States']"
gutu,"['Moldova, Republic of']"
guzman,"['Argentina', 'Chile', 'Cuba', 'Dominican Republic', 'Mexico']"
gwak,"['Korea, Republic of']"
gwon,"['Korea, Republic of']"
ha,"['Korea, Republic of', 'Viet Nam']"
haas,['Austria']
hadad,['Israel']
hadzic,['Bosnia and Herzegovina']
hagen,['Norway']
hah,"['Korea, Republic of']"
hakobyan,['Armenia']
halili,['Albania']
hall,['United States']
halvorsen,['Norway']
hamalainen,['Finland']
han,"['Korea, Republic of']"
hansen,"['Denmark', 'Faroe Islands', 'Iceland', 'Luxembourg', 'Norway']"
hansson,['El Salvador']
hara,['Japan']
harada,['Japan']
harris,"['Australia', 'United States']"
harutyunyan,['Armenia']
hasani,['Albania']
hasanov,['Azerbaijan']
hasanovic,['Bosnia and Herzegovina']
hasegawa,['Japan']
hashimoto,['Japan']
haugen,['Norway']
hayashi,['Japan']
hazan,['Israel']
he,['China']
heikkila,['Finland']
heikkinen,['Finland']
heilig,['Austria']
heinonen,['Finland']
hendriks,['Netherlands']
heng,"['Taiwan, Province of China']"
henriksen,['Norway']
henriquez,['Chile']
heo,"['Korea, Republic of']"
her,"['Korea, Republic of']"
herath,['Sri Lanka']
hernandez,"['Argentina', 'Chile', 'Colombia', 'Costa Rica', 'Cuba', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Mexico', 'Philippines', 'Spain', 'United States']"
herrera,"['Argentina', 'Chile', 'Costa Rica', 'Mexico', 'Paraguay']"
hettiarachchi,['Sri Lanka']
hill,['United States']
hirano,['Japan']
hjaltalin,['Iceland']
ho,"['Cambodia', 'China', 'Viet Nam']"
hoa,['Viet Nam']
hocevar,['Slovenia']
hodzic,['Bosnia and Herzegovina']
hofer,['Austria']
hoffmann,"['Germany', 'Luxembourg']"
hong,"['Cambodia', 'Korea, Republic of']"
horak,['Czechia']
horakova,['Czechia']
horvat,"['Croatia', 'Slovenia']"
horvath,"['Hungary', 'Slovakia']"
hossain,['Bangladesh']
hoti,[]
hovhannisyan,['Armenia']
howard,['United States']
hoxha,['Albania']
hribar,['Slovenia']
hristov,['Bulgaria']
hristova,['Bulgaria']
hu,['China']
huaman,['Peru']
huang,"['China', 'Korea, Republic of', 'Taiwan, Province of China']"
huber,"['Austria', 'Switzerland']"
hudak,['Slovakia']
hughes,['United States']
hui,"['Korea, Republic of']"
hun,['Cambodia']
hur,"['Korea, Republic of']"
huseynov,['Azerbaijan']
hwang,"['Korea, Republic of']"
hysi,['Albania']
højgaard,['Faroe Islands']
ibanez,['Argentina']
ibarra,['Mexico']
ibraev,['Kazakhstan']
ibragimov,['Kazakhstan']
ibrahimovic,['Bosnia and Herzegovina']
ichikawa,['Japan']
ieong,"['Taiwan, Province of China']"
iglesias,"['Argentina', 'Spain']"
ikeda,['Japan']
ilic,"['Bosnia and Herzegovina', 'Serbia']"
iliev,['Bulgaria']
ilieva,['Bulgaria']
ilves,['Estonia']
im,"['Cambodia', 'Korea, Republic of']"
imai,['Japan']
inoue,['Japan']
ionescu,['Romania']
isaev,['Kazakhstan']
ishida,['Japan']
ishii,['Japan']
ishikawa,['Japan']
iskakov,['Kazakhstan']
islam,['Bangladesh']
ismailov,['Kazakhstan']
ismayilov,['Azerbaijan']
iv,['Cambodia']
ivanov,"['Bulgaria', 'Estonia', 'Kazakhstan', 'North Macedonia', 'Russian Federation']"
ivanova,['Bulgaria']
ivanovic,['Montenegro']
ivanovski,['North Macedonia']
iwasaki,['Japan']
jackson,"['United Kingdom', 'United States']"
jacobs,['Belgium']
jacobsen,"['Faroe Islands', 'Norway']"
jafarov,['Azerbaijan']
jakobsson,['El Salvador']
james,"['United Kingdom', 'United States']"
janev,['North Macedonia']
jang,"['Korea, Republic of']"
jankauskas,['Lithuania']
jankauskiene,['Lithuania']
jankowski,['Poland']
jansen,['Netherlands']
jansons,['Latvia']
janssen,['Netherlands']
janssens,['Belgium']
jansson,['El Salvador']
jara,['Chile']
jarvinen,['Finland']
javier,['Philippines']
jayasekara,['Sri Lanka']
jayasinghe,['Sri Lanka']
jayasuriya,['Sri Lanka']
jayawardana,['Sri Lanka']
jayawardena,['Sri Lanka']
jayaweera,['Sri Lanka']
jean,"['Korea, Republic of']"
jee,"['Korea, Republic of']"
jen,"['Korea, Republic of']"
jenkins,['United States']
jensen,"['Denmark', 'Faroe Islands', 'Iceland', 'Norway']"
jeon,"['Korea, Republic of']"
jeong,"['Korea, Republic of']"
jesus,['Portugal']
ji,"['Korea, Republic of']"
jimenez,"['Chile', 'Colombia', 'Costa Rica', 'Cuba', 'Dominican Republic', 'Mexico', 'Spain']"
jin,"['Korea, Republic of']"
jo,"['Korea, Republic of']"
joe,"['Korea, Republic of']"
joeng,"['Taiwan, Province of China']"
joensen,['Faroe Islands']
johannesen,['Faroe Islands']
johannessen,['Norway']
johansen,"['Denmark', 'Faroe Islands', 'Norway']"
johansson,['El Salvador']
johnsen,['Norway']
johnson,"['Australia', 'Canada', 'United Kingdom', 'United States']"
jokinen,['Finland']
jones,"['Australia', 'New Zealand', 'United Kingdom', 'United States']"
jonsson,['El Salvador']
joo,"['Korea, Republic of']"
jovanovic,"['Bosnia and Herzegovina', 'Montenegro', 'Serbia']"
joy,"['Korea, Republic of']"
ju,"['Korea, Republic of']"
juarez,"['Argentina', 'Mexico']"
juhasz,['Hungary']
jukic,['Croatia']
jun,"['Korea, Republic of']"
jung,"['Korea, Republic of']"
juric,['Croatia']
juu,"['Korea, Republic of']"
jørgensen,"['Denmark', 'Norway']"
kaczmarek,['Poland']
kaliev,['Kazakhstan']
kalloe,['Suriname']
kaminski,['Poland']
kaneko,['Japan']
kang,"['Korea, Republic of']"
kapanadze,['Georgia']
kara,['Türkiye']
karapetyan,['Armenia']
karimov,['Kazakhstan']
karjalainen,['Finland']
karlsen,['Norway']
karlsson,['El Salvador']
karunaratne,['Sri Lanka']
kask,['Estonia']
kastelic,['Slovenia']
kastrati,[]
katz,['Israel']
kaur,['New Zealand']
kavaliauskas,['Lithuania']
kavaliauskiene,['Lithuania']
kavcic,['Slovenia']
kawano,['Japan']
kaya,['Türkiye']
kayser,['Luxembourg']
kazlauskas,['Lithuania']
kazlauskiene,['Lithuania']
keller,['Switzerland']
kelly,"['Australia', 'Ireland', 'United States']"
kelmendi,['Albania']
kennedy,['Ireland']
keo,['Cambodia']
khachatryan,['Armenia']
khan,"['Fiji', 'United Kingdom']"
khat,['Cambodia']
khatun,['Bangladesh']
khay,['Cambodia']
khen,['Israel']
khmer,['Cambodia']
khutsishvili,['Georgia']
kieffer,['Luxembourg']
kikuchi,['Japan']
kim,"['Cambodia', 'Kazakhstan', 'Korea, Republic of', 'Viet Nam']"
kimura,['Japan']
king,['United States']
kinnunen,['Finland']
kinoshita,['Japan']
kiss,['Hungary']
kitanovski,['North Macedonia']
klein,"['Israel', 'Luxembourg']"
klemencic,['Slovenia']
kluivert,['Suriname']
knezevic,"['Bosnia and Herzegovina', 'Croatia']"
ko,"['China', 'Korea, Republic of']"
kobayashi,['Japan']
koc,['Türkiye']
koh,"['Korea, Republic of']"
kojima,['Japan']
kola,['Albania']
kolar,['Slovenia']
kolla,['Albania']
kollar,['Slovakia']
koller,['Austria']
kontos,['Greece']
koo,"['Korea, Republic of']"
koppel,['Estonia']
koren,['Slovenia']
korhonen,['Finland']
korosec,['Slovenia']
koroveshi,['Albania']
kos,['Slovenia']
kosir,['Slovenia']
koskinen,['Finland']
kostov,['North Macedonia']
kostovski,['North Macedonia']
kotnik,['Slovenia']
koufos,['Greece']
kovac,"['Croatia', 'Slovakia', 'Slovenia']"
kovacevic,"['Bosnia and Herzegovina', 'Croatia', 'Montenegro']"
kovacic,"['Croatia', 'Slovenia']"
kovacik,['Slovakia']
kovacs,"['Hungary', 'Slovakia']"
koval,['Ukraine']
kovalchuk,['Ukraine']
kovalenko,['Ukraine']
kowalczyk,['Poland']
kowalski,['Poland']
koyama,['Japan']
kozlov,['Russian Federation']
kozłowski,['Poland']
krajnc,['Slovenia']
kralj,['Slovenia']
krasniqi,['Albania']
kravchenko,['Ukraine']
krawczyk,['Poland']
kremer,['Luxembourg']
krier,['Luxembourg']
kristensen,['Denmark']
kristi,['Albania']
kristiansen,['Norway']
kristo,['Albania']
kritikos,['Greece']
kryeziu,[]
kucera,['Czechia']
kucerova,['Czechia']
kuen,"['Korea, Republic of']"
kukk,['Estonia']
kumar,"['Fiji', 'India']"
kumara,['Sri Lanka']
kuqi,['Albania']
kurt,['Türkiye']
kusainov,['Kazakhstan']
kuznetsov,"['Estonia', 'Kazakhstan', 'Russian Federation']"
kvaran,['Iceland']
kvaratskhelia,['Georgia']
kwak,"['Korea, Republic of']"
kwiatkowski,['Poland']
kwok,['China']
kwon,"['Korea, Republic of']"
kılıc,['Türkiye']
la,"['Korea, Republic of']"
laci,['Albania']
lagos,['Chile']
lahtinen,['Finland']
laine,['Finland']
laitinen,['Finland']
lakatos,['Hungary']
lakmal,['Sri Lanka']
lal,['Fiji']
lam,"['China', 'Taiwan, Province of China', 'Viet Nam']"
lama,['Nepal']
lambert,"['Belgium', 'France']"
lang,['Austria']
lao,"['Taiwan, Province of China']"
lara,['Mexico']
larsen,"['Denmark', 'Norway']"
larsson,['El Salvador']
lata,['Fiji']
lau,"['China', 'Korea, Republic of', 'Taiwan, Province of China']"
laurent,"['Belgium', 'France']"
law,['China']
le,"['Taiwan, Province of China', 'Viet Nam']"
lebedev,['Russian Federation']
lechner,['Austria']
leclercq,['Belgium']
ledesma,['Argentina']
lee,"['Australia', 'Canada', 'China', 'Korea, Republic of', 'Taiwan, Province of China', 'United States']"
lefebvre,['France']
lefevre,['France']
lehner,['Austria']
lehtinen,['Finland']
lehtonen,['Finland']
lei,"['Taiwan, Province of China']"
leitner,['Austria']
leiva,['Chile']
lejeune,['Belgium']
leka,['Albania']
leon,['Mexico']
leone,['Italy']
leroy,['France']
levi,['Israel']
levin,['Israel']
levy,['Israel']
lewandowski,['Poland']
lewis,"['United Kingdom', 'United States']"
li,"['China', 'Kazakhstan', 'Taiwan, Province of China']"
lie,['Suriname']
liem,"['Taiwan, Province of China']"
lim,"['Cambodia', 'Korea, Republic of', 'Taiwan, Province of China']"
lima,['Brazil']
lin,"['China', 'Suriname', 'Taiwan, Province of China']"
lindberg,['El Salvador']
liu,"['China', 'Korea, Republic of', 'Taiwan, Province of China']"
liyanage,['Sri Lanka']
lombardi,['Italy']
lombardo,['Italy']
lomidze,['Georgia']
long,"['Cambodia', 'United States']"
longo,['Italy']
lopes,['Portugal']
lopez,"['Argentina', 'Chile', 'Colombia', 'Costa Rica', 'Cuba', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Mexico', 'Paraguay', 'Peru', 'Philippines', 'Spain', 'United States']"
lorenzo,['Argentina']
lou,"['Taiwan, Province of China']"
lourenco,['Portugal']
lovric,['Croatia']
low,"['Taiwan, Province of China']"
luka,['Albania']
lukac,['Slovakia']
lukic,['Bosnia and Herzegovina']
lum,"['Taiwan, Province of China']"
luna,"['Argentina', 'Mexico']"
lund,['Norway']
lungu,"['Moldova, Republic of']"
luong,['Viet Nam']
luu,['Viet Nam']
ly,['Viet Nam']
lynch,['Ireland']
lysenko,['Ukraine']
ma,"['Cambodia', 'China']"
mac,['Viet Nam']
macdonald,['Canada']
machado,['Portugal']
madrigal,['Costa Rica']
